# E_lo_GeV E_hi_GeV cosz_lo cosz_hi Aeff_m2 Aeff_err_m2 Nmc
7.94328235e+04 1.12201845e+05 -0.400000 -0.200000 1.00381327e+01 2.56898230e-01 4949
7.94328235e+04 1.12201845e+05 -0.200000  0.000000 1.14005714e+01 2.61122087e-01 6129
7.94328235e+04 1.12201845e+05  0.000000  0.200000 1.20296032e+01 2.37097221e-01 6571
7.94328235e+04 1.12201845e+05  0.200000  0.400000 1.15351252e+01 1.59058380e-01 7695
7.94328235e+04 1.12201845e+05  0.400000  0.600000 1.18235043e+01 1.39034420e-01 8737
7.94328235e+04 1.12201845e+05  0.600000  0.800000 1.16082447e+01 1.26975459e-01 9498
7.94328235e+04 1.12201845e+05  0.800000  1.000000 1.13839217e+01 1.09329190e-01 12245
1.12201845e+05 1.58489319e+05 -1.000000 -0.800000 7.14541117e+00 2.62333243e-01 3510
1.12201845e+05 1.58489319e+05 -0.800000 -0.600000 1.13130049e+01 3.54512802e-01 3759
1.12201845e+05 1.58489319e+05 -0.600000 -0.400000 1.37830746e+01 3.93840325e-01 4365
1.12201845e+05 1.58489319e+05 -0.400000 -0.200000 1.76938041e+01 4.36537207e-01 5465
1.12201845e+05 1.58489319e+05 -0.200000  0.000000 1.84896074e+01 4.17048907e-01 6453
1.12201845e+05 1.58489319e+05  0.000000  0.200000 2.13745880e+01 3.94007440e-01 7479
1.12201845e+05 1.58489319e+05  0.200000  0.400000 1.99136794e+01 2.51661735e-01 9036
1.12201845e+05 1.58489319e+05  0.400000  0.600000 2.00828229e+01 2.16882662e-01 10362
1.12201845e+05 1.58489319e+05  0.600000  0.800000 2.00884242e+01 1.99242707e-01 11611
1.12201845e+05 1.58489319e+05  0.800000  1.000000 1.96517519e+01 1.72406023e-01 14776
1.58489319e+05 2.23872114e+05 -1.000000 -0.800000 8.52524743e+00 3.43993820e-01 3564
1.58489319e+05 2.23872114e+05 -0.800000 -0.600000 1.52998925e+01 5.06137865e-01 3764
1.58489319e+05 2.23872114e+05 -0.600000 -0.400000 1.98789737e+01 5.81543802e-01 4364
1.58489319e+05 2.23872114e+05 -0.400000 -0.200000 2.48216034e+01 6.31435881e-01 5382
1.58489319e+05 2.23872114e+05 -0.200000  0.000000 2.93846093e+01 6.57957954e-01 6433
1.58489319e+05 2.23872114e+05  0.000000  0.200000 3.14057367e+01 5.79778407e-01 7419
1.58489319e+05 2.23872114e+05  0.200000  0.400000 3.08797275e+01 3.78464947e-01 9500
1.58489319e+05 2.23872114e+05  0.400000  0.600000 3.00682733e+01 3.18824911e-01 10789
1.58489319e+05 2.23872114e+05  0.600000  0.800000 3.07049339e+01 2.95092114e-01 12451
1.58489319e+05 2.23872114e+05  0.800000  1.000000 3.00467718e+01 2.53824841e-01 16042
2.23872114e+05 3.16227766e+05 -1.000000 -0.800000 1.06419807e+01 4.86265860e-01 3371
2.23872114e+05 3.16227766e+05 -0.800000 -0.600000 1.98287775e+01 7.02410546e-01 3635
2.23872114e+05 3.16227766e+05 -0.600000 -0.400000 2.67398600e+01 8.33271860e-01 4099
2.23872114e+05 3.16227766e+05 -0.400000 -0.200000 3.44519389e+01 9.31821894e-01 4910
2.23872114e+05 3.16227766e+05 -0.200000  0.000000 4.24737382e+01 9.98868109e-01 5896
2.23872114e+05 3.16227766e+05  0.000000  0.200000 4.29145739e+01 8.20565361e-01 6901
2.23872114e+05 3.16227766e+05  0.200000  0.400000 4.25829118e+01 5.31416794e-01 9056
2.23872114e+05 3.16227766e+05  0.400000  0.600000 4.23407782e+01 4.52090234e-01 10594
2.23872114e+05 3.16227766e+05  0.600000  0.800000 4.29337012e+01 4.15851735e-01 12305
2.23872114e+05 3.16227766e+05  0.800000  1.000000 4.24438054e+01 3.59987169e-01 16047
3.16227766e+05 4.46683592e+05 -1.000000 -0.800000 1.14762204e+01 6.16056201e-01 3055
3.16227766e+05 4.46683592e+05 -0.800000 -0.600000 2.29412303e+01 9.44621625e-01 3133
3.16227766e+05 4.46683592e+05 -0.600000 -0.400000 3.51047453e+01 1.17617307e+00 3768
3.16227766e+05 4.46683592e+05 -0.400000 -0.200000 4.14786702e+01 1.25989910e+00 4308
3.16227766e+05 4.46683592e+05 -0.200000  0.000000 5.39894337e+01 1.37754395e+00 5175
3.16227766e+05 4.46683592e+05  0.000000  0.200000 5.84566606e+01 1.16015269e+00 6277
3.16227766e+05 4.46683592e+05  0.200000  0.400000 5.66602231e+01 7.31977247e-01 8386
3.16227766e+05 4.46683592e+05  0.400000  0.600000 5.73690555e+01 6.27548546e-01 10157
3.16227766e+05 4.46683592e+05  0.600000  0.800000 5.70579657e+01 5.70333684e-01 11627
3.16227766e+05 4.46683592e+05  0.800000  1.000000 5.64261430e+01 4.95979530e-01 15040
4.46683592e+05 6.30957344e+05 -1.000000 -0.800000 1.15425659e+01 7.33349021e-01 2743
4.46683592e+05 6.30957344e+05 -0.800000 -0.600000 2.62624200e+01 1.19502631e+00 2950
4.46683592e+05 6.30957344e+05 -0.600000 -0.400000 3.83746131e+01 1.49386490e+00 3271
4.46683592e+05 6.30957344e+05 -0.400000 -0.200000 5.16213109e+01 1.67056169e+00 3890
4.46683592e+05 6.30957344e+05 -0.200000  0.000000 7.08952455e+01 1.93999265e+00 4614
4.46683592e+05 6.30957344e+05  0.000000  0.200000 7.14945355e+01 1.50581138e+00 5480
4.46683592e+05 6.30957344e+05  0.200000  0.400000 7.34479507e+01 9.93914818e-01 7642
4.46683592e+05 6.30957344e+05  0.400000  0.600000 7.39701483e+01 8.46968325e-01 9272
4.46683592e+05 6.30957344e+05  0.600000  0.800000 7.40107127e+01 7.69396946e-01 10758
4.46683592e+05 6.30957344e+05  0.800000  1.000000 7.46217344e+01 6.74659876e-01 14199
6.30957344e+05 8.91250938e+05 -1.000000 -0.800000 1.16436320e+01 8.93222221e-01 2516
6.30957344e+05 8.91250938e+05 -0.800000 -0.600000 2.67462762e+01 1.45778378e+00 2544
6.30957344e+05 8.91250938e+05 -0.600000 -0.400000 4.30619842e+01 1.91740531e+00 2831
6.30957344e+05 8.91250938e+05 -0.400000 -0.200000 6.03740310e+01 2.19050609e+00 3340
6.30957344e+05 8.91250938e+05 -0.200000  0.000000 7.92014051e+01 2.40327750e+00 3952
6.30957344e+05 8.91250938e+05  0.000000  0.200000 9.81087691e+01 2.21978757e+00 4899
6.30957344e+05 8.91250938e+05  0.200000  0.400000 9.34669229e+01 1.33485247e+00 6784
6.30957344e+05 8.91250938e+05  0.400000  0.600000 9.25481250e+01 1.12160607e+00 8263
6.30957344e+05 8.91250938e+05  0.600000  0.800000 9.40273275e+01 1.03273080e+00 9676
6.30957344e+05 8.91250938e+05  0.800000  1.000000 9.30575994e+01 8.93443491e-01 12682
8.91250938e+05 1.25892541e+06 -1.000000 -0.800000 1.17202488e+01 1.01172674e+00 2227
8.91250938e+05 1.25892541e+06 -0.800000 -0.600000 2.84184166e+01 1.75399595e+00 2287
8.91250938e+05 1.25892541e+06 -0.600000 -0.400000 4.87700848e+01 2.45139987e+00 2513
8.91250938e+05 1.25892541e+06 -0.400000 -0.200000 7.34628319e+01 3.00188995e+00 2871
8.91250938e+05 1.25892541e+06 -0.200000  0.000000 1.09565729e+02 3.58470265e+00 3417
8.91250938e+05 1.25892541e+06  0.000000  0.200000 1.17922170e+02 2.86504852e+00 4276
8.91250938e+05 1.25892541e+06  0.200000  0.400000 1.16678773e+02 1.76931802e+00 6045
8.91250938e+05 1.25892541e+06  0.400000  0.600000 1.15849643e+02 1.50057450e+00 7252
8.91250938e+05 1.25892541e+06  0.600000  0.800000 1.15547704e+02 1.36162033e+00 8432
8.91250938e+05 1.25892541e+06  0.800000  1.000000 1.15925513e+02 1.18089909e+00 11269
1.25892541e+06 1.77827941e+06 -1.000000 -0.800000 1.24044103e+01 1.22859082e+00 2002
1.25892541e+06 1.77827941e+06 -0.800000 -0.600000 3.01987656e+01 2.24001882e+00 1922
1.25892541e+06 1.77827941e+06 -0.600000 -0.400000 5.37896779e+01 3.03829682e+00 2156
1.25892541e+06 1.77827941e+06 -0.400000 -0.200000 8.55728321e+01 3.85292976e+00 2620
1.25892541e+06 1.77827941e+06 -0.200000  0.000000 1.23402630e+02 4.58928809e+00 2965
1.25892541e+06 1.77827941e+06  0.000000  0.200000 1.43498805e+02 3.83517418e+00 3658
1.25892541e+06 1.77827941e+06  0.200000  0.400000 1.39315370e+02 2.30620160e+00 5104
1.25892541e+06 1.77827941e+06  0.400000  0.600000 1.44408288e+02 1.97664790e+00 6519
1.25892541e+06 1.77827941e+06  0.600000  0.800000 1.43285029e+02 1.79778675e+00 7469
1.25892541e+06 1.77827941e+06  0.800000  1.000000 1.44459468e+02 1.57732870e+00 9832
1.77827941e+06 2.51188643e+06 -1.000000 -0.800000 1.17474363e+01 1.48788803e+00 1691
1.77827941e+06 2.51188643e+06 -0.800000 -0.600000 3.63910230e+01 3.20608162e+00 1725
1.77827941e+06 2.51188643e+06 -0.600000 -0.400000 5.56320659e+01 3.83787789e+00 1787
1.77827941e+06 2.51188643e+06 -0.400000 -0.200000 9.23999497e+01 4.76769397e+00 2209
1.77827941e+06 2.51188643e+06 -0.200000  0.000000 1.45522294e+02 6.14056445e+00 2466
1.77827941e+06 2.51188643e+06  0.000000  0.200000 1.74384360e+02 4.99755808e+00 3138
1.77827941e+06 2.51188643e+06  0.200000  0.400000 1.71416580e+02 3.03193816e+00 4478
1.77827941e+06 2.51188643e+06  0.400000  0.600000 1.77461302e+02 2.62603658e+00 5619
1.77827941e+06 2.51188643e+06  0.600000  0.800000 1.75179389e+02 2.37782552e+00 6420
1.77827941e+06 2.51188643e+06  0.800000  1.000000 1.70831028e+02 2.03517969e+00 8358
2.51188643e+06 3.54813389e+06 -1.000000 -0.800000 1.02490903e+01 1.38956267e+00 1501
2.51188643e+06 3.54813389e+06 -0.800000 -0.600000 2.87607048e+01 2.87854215e+00 1482
2.51188643e+06 3.54813389e+06 -0.600000 -0.400000 5.22948467e+01 4.44811961e+00 1502
2.51188643e+06 3.54813389e+06 -0.400000 -0.200000 9.78577858e+01 5.94220481e+00 1843
2.51188643e+06 3.54813389e+06 -0.200000  0.000000 1.68845250e+02 8.01177690e+00 2133
2.51188643e+06 3.54813389e+06  0.000000  0.200000 2.18577480e+02 7.01519247e+00 2747
2.51188643e+06 3.54813389e+06  0.200000  0.400000 2.09201794e+02 4.01347301e+00 3877
2.51188643e+06 3.54813389e+06  0.400000  0.600000 2.13178314e+02 3.43501909e+00 4833
2.51188643e+06 3.54813389e+06  0.600000  0.800000 2.11298301e+02 3.12885285e+00 5525
2.51188643e+06 3.54813389e+06  0.800000  1.000000 2.11473375e+02 2.70816602e+00 7340
3.54813389e+06 5.01187234e+06 -1.000000 -0.800000 1.36792098e+01 1.91355460e+00 1313
3.54813389e+06 5.01187234e+06 -0.800000 -0.600000 3.24105073e+01 3.94070169e+00 1287
3.54813389e+06 5.01187234e+06 -0.600000 -0.400000 6.43586326e+01 6.42348913e+00 1454
3.54813389e+06 5.01187234e+06 -0.400000 -0.200000 1.01901877e+02 7.22572922e+00 1564
3.54813389e+06 5.01187234e+06 -0.200000  0.000000 1.98301427e+02 1.13799544e+01 1711
3.54813389e+06 5.01187234e+06  0.000000  0.200000 2.75105074e+02 1.06598748e+01 2325
3.54813389e+06 5.01187234e+06  0.200000  0.400000 2.70959660e+02 6.19041794e+00 3289
3.54813389e+06 5.01187234e+06  0.400000  0.600000 2.74066232e+02 5.18706137e+00 4127
3.54813389e+06 5.01187234e+06  0.600000  0.800000 2.74283688e+02 4.84730653e+00 4686
3.54813389e+06 5.01187234e+06  0.800000  1.000000 2.66186897e+02 4.06255950e+00 6114
5.01187234e+06 7.07945784e+06 -1.000000 -0.800000 1.57993460e+01 2.49559283e+00 1079
5.01187234e+06 7.07945784e+06 -0.800000 -0.600000 2.98285501e+01 4.18412262e+00 1167
5.01187234e+06 7.07945784e+06 -0.600000 -0.400000 6.19798791e+01 7.62511931e+00 1211
5.01187234e+06 7.07945784e+06 -0.400000 -0.200000 1.05924532e+02 8.78553723e+00 1332
5.01187234e+06 7.07945784e+06 -0.200000  0.000000 2.88794326e+02 7.21277097e+01 1532
5.01187234e+06 7.07945784e+06  0.000000  0.200000 1.47682999e+03 1.68256069e+02 1986
5.01187234e+06 7.07945784e+06  0.200000  0.400000 1.60338326e+03 1.38035483e+02 2817
5.01187234e+06 7.07945784e+06  0.400000  0.600000 1.67821239e+03 1.19994786e+02 3468
5.01187234e+06 7.07945784e+06  0.600000  0.800000 1.46877634e+03 9.90625109e+01 4037
5.01187234e+06 7.07945784e+06  0.800000  1.000000 1.41478595e+03 8.22684249e+01 5200
7.07945784e+06 1.00000000e+07 -1.000000 -0.800000 9.97383390e+00 2.57620871e+00 1002
7.07945784e+06 1.00000000e+07 -0.800000 -0.600000 2.60612562e+01 4.49082892e+00 871
7.07945784e+06 1.00000000e+07 -0.600000 -0.400000 5.70982081e+01 7.78924347e+00 932
7.07945784e+06 1.00000000e+07 -0.400000 -0.200000 1.10616221e+02 1.09231323e+01 1126
7.07945784e+06 1.00000000e+07 -0.200000  0.000000 2.41196750e+02 1.87380746e+01 1212
7.07945784e+06 1.00000000e+07  0.000000  0.200000 4.17484657e+02 1.99814826e+01 1653
7.07945784e+06 1.00000000e+07  0.200000  0.400000 3.99893803e+02 1.15178279e+01 2373
7.07945784e+06 1.00000000e+07  0.400000  0.600000 4.23785501e+02 1.00807745e+01 3016
7.07945784e+06 1.00000000e+07  0.600000  0.800000 4.10735224e+02 9.10664190e+00 3355
7.07945784e+06 1.00000000e+07  0.800000  1.000000 4.04326882e+02 7.46646809e+00 4574
