sampler,n_chains,accept_rate,wall_time_s,log_phi,gamma,log_eta,delta
RWMH,4,0.2427625,5.3733673095703125,2475.773571880464,2496.968025186971,2033.3550392187617,2627.781341121694
MALA,4,0.63675,10.528869867324829,5023.663970405346,5432.6527704756445,3554.9508199419415,5320.501573225579
