sampler,n_chains,accept_rate,wall_time_s,log_phi,gamma,log_eta,delta
RWMH,4,0.2427625,5.3733673095703125,1.002384172439724,1.0034248636094043,1.001870245850303,1.0016389371368826
MALA,4,0.63675,10.528869867324829,1.0004429010312959,1.0006181055779497,1.0010035451292487,1.0008614503776854
