,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,3.1780362740658104e-18,2.4566117619066356e-18,2.5237052742278733e-18,2.5582346642151037e-19,8.393329794751887e-18,2.06e-18
gamma,gamma,3.0599262008084644,0.3457160556853571,3.053208644102997,2.4918462419299505,3.5637962870289095,2.5
log_eta,eta,7.911969596495746e-18,2.440728621384386e-18,8.444027333929842e-18,2.7532577686968548e-18,1.1037881160189262e-17,1e-17
delta,delta,3.7348073571097906,0.11322337559080482,3.7283579847732597,3.560573107489207,3.930959505862105,3.7
