,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,2.593039421905533e-18,1.3814865381841837e-18,2.4170719494875305e-18,6.485832900858388e-19,5.16996179939829e-18,2.06e-18
gamma,gamma,2.633626108613594,0.23156547906609645,2.650480650679305,2.2272428450808883,2.9809674791043506,2.5
log_eta,eta,8.554851466310565e-18,1.4543781044643038e-18,8.643480725148466e-18,6.01028454627345e-18,1.0790571667806186e-17,1e-17
delta,delta,3.777098208335649,0.10691276525432493,3.770168528977769,3.6136763374836876,3.9670179751111116,3.7
