sampler,n_chains,accept_rate,wall_time_s,log_phi,gamma,log_eta,delta
RWMH,4,0.21381250000000002,5.389978408813477,157.23924547064016,248.9772061527083,106.04853592526051,337.5354228869173
MALA,4,0.6008833333333333,10.982460737228394,156.24090004354954,201.7779402123657,105.38646364187036,170.87865983672194
