,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,2.517988116617127e-18,1.4125604746706234e-18,2.3237409905638976e-18,5.955599464388757e-19,5.151171665841167e-18,2.06e-18
gamma,gamma,2.6199104421282695,0.24155630225591868,2.638193895443729,2.2109891104501447,2.9830368368230213,2.5
log_eta,eta,8.633471938275234e-18,1.466466565133626e-18,8.73997105484683e-18,6.06951750918668e-18,1.085234239933458e-17,1e-17
delta,delta,3.771762503489595,0.10492003431540875,3.765971397809272,3.6102443756407583,3.951911230726985,3.7
