,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,1.675951198457081e-18,9.53385048559959e-19,1.4629431991761785e-18,5.188456640269405e-19,3.5533490167143295e-18,2.06e-18
gamma,gamma,2.828493477288395,0.23499696644672483,2.8223179214320435,2.455950324194764,3.222564027973626,2.5
log_eta,eta,8.808750494284728e-18,1.0565050474834467e-18,8.945320947221546e-18,6.835135043071453e-18,1.0299539605074876e-17,1e-17
delta,delta,3.762114337727707,0.08469873758119756,3.7566327154402948,3.6320918493273506,3.909652153158441,3.7
