,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,2.0209736638611986e-18,9.862425849918882e-19,1.8402887390834634e-18,7.2758901990733015e-19,3.911940439050625e-18,2.06e-18
gamma,gamma,2.555844453725567,0.18283987752717556,2.556608621246057,2.253616134648127,2.856401274971017,2.5
log_eta,eta,9.081458109248283e-18,1.114930273065201e-18,9.180828204951479e-18,7.056078435245825e-18,1.0745158208723501e-17,1e-17
delta,delta,3.75011048583991,0.09005969885277558,3.745476249362992,3.6080147223894006,3.905829232592185,3.7
