,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,2.3444142548093695e-18,1.7554678760554594e-18,1.9025242296745964e-18,3.2754570110446115e-19,6.003245899433649e-18,2.06e-18
gamma,gamma,2.9740130962691866,0.3586952701402011,2.954650011794054,2.420969035450215,3.567675051599242,2.5
log_eta,eta,8.245445830405566e-18,1.755333648891871e-18,8.573267809437969e-18,4.7691240423435745e-18,1.0521092930889263e-17,1e-17
delta,delta,3.7605384116073655,0.1092915359960627,3.7541238865941393,3.5931869834870596,3.9480367107021737,3.7
