sampler,n_chains,accept_rate,wall_time_s,log_phi,gamma,log_eta,delta
RWMH,4,0.2074125,5.364968299865723,20.77293784224588,55.90623972295111,13.42100621185005,54.91804288294979
MALA,4,0.5892999999999999,10.539958477020264,21.601843600100878,23.013141571626676,24.086763332068426,22.050244232455075
