,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,1.6678915372511062e-18,9.592438943005467e-19,1.452739133196713e-18,5.05358673729453e-19,3.545363433377993e-18,2.06e-18
gamma,gamma,2.821138833901658,0.23724899127955362,2.8117943958525795,2.44383973120262,3.219831544175202,2.5
log_eta,eta,8.812837280698279e-18,1.0607205244955361e-18,8.94772296767908e-18,6.889224461436161e-18,1.030104779108332e-17,1e-17
delta,delta,3.7633535841878745,0.08404472823118711,3.7577197749925504,3.6345440995787825,3.9079043244759717,3.7
