,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,2.0122786086610115e-18,9.666561542265436e-19,1.850878897733917e-18,7.457436185388295e-19,3.867198454826607e-18,2.06e-18
gamma,gamma,2.5558392605659233,0.17870116246980566,2.558138790918375,2.2594506363603872,2.8481592875793718,2.5
log_eta,eta,9.085073256732542e-18,1.1073880013972027e-18,9.192593937225785e-18,7.08776665670485e-18,1.0716453095740623e-17,1e-17
delta,delta,3.7490602005877345,0.09090517220199323,3.7432278611503427,3.610514424556494,3.906579936627268,3.7
