,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,2.3532476872103906e-18,1.3142956882617782e-18,2.1517695474993237e-18,5.796681032083215e-19,4.848517778673622e-18,2.06e-18
gamma,gamma,2.5911317205012603,0.22459568039626648,2.603652269046076,2.2004465812163856,2.9445898658904026,2.5
log_eta,eta,8.780506183772613e-18,1.3893227546901431e-18,8.890300236015688e-18,6.316753283898713e-18,1.0849126535082224e-17,1e-17
delta,delta,3.7650320507996,0.10316589665662368,3.759134172924087,3.605104273233754,3.945352012498583,3.7
