,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,2.4047915835038935e-18,1.963355198462736e-18,1.9159496416172635e-18,2.1386457188388357e-19,6.561199294004635e-18,2.06e-18
gamma,gamma,2.947052883936591,0.3559843001219798,2.944620011474768,2.360086245711865,3.526934182416675,2.5
log_eta,eta,8.188288002293976e-18,1.9523863798194537e-18,8.570194011410186e-18,4.3346946840714055e-18,1.0624037484344166e-17,1e-17
delta,delta,3.761812170818869,0.10680206738702391,3.7560754444687046,3.6018070208706043,3.946812656311548,3.7
