,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,2.98980762147711e-18,2.168307622164062e-18,2.4998617315723698e-18,3.0194466793277667e-19,7.265655971874315e-18,2.06e-18
gamma,gamma,3.0123662628605095,0.32788943721334673,3.0212475104047725,2.4696859077076994,3.5400230576430776,2.5
log_eta,eta,8.074706553880956e-18,2.1428989649076953e-18,8.43446704919574e-18,3.990177954603922e-18,1.0976983469087297e-17,1e-17
delta,delta,3.74242886343695,0.11422091109347052,3.7359884075266394,3.5671620090404623,3.9425088041740444,3.7
