,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,2.300677052204333e-18,1.6441507450404766e-18,2.0138386103432308e-18,1.6501939489972536e-19,5.3447605825581235e-18,2.06e-18
gamma,gamma,3.5620765574112956,0.8421096475288139,3.3000514559427923,2.6197709228196864,5.284426689154295,2.5
log_eta,eta,8.352050620167167e-18,1.646345403544986e-18,8.541005483494538e-18,5.3797690997722694e-18,1.0683801592847687e-17,1e-17
delta,delta,3.677737405234341,0.15166484483056325,3.6857358346530233,3.425671978987767,3.916573618228544,3.7
