,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,3.606007091720032e-18,2.3964520039908826e-18,3.1936531035048624e-18,4.403594948535885e-19,8.019262094209421e-18,2.06e-18
gamma,gamma,3.286133901698999,0.46730238570508836,3.257926679131981,2.5855481848018607,4.190419847927502,2.5
log_eta,eta,7.554938711914061e-18,2.3524750096080033e-18,7.848998877701437e-18,3.3255952883252793e-18,1.083456878567332e-17,1e-17
delta,delta,3.6952339710125943,0.14345778910582882,3.6965557061441205,3.4458865619241106,3.9252732648273794,3.7
