,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,2.1486690689705416e-18,1.707124032637291e-18,1.7485934274064836e-18,1.474366646431934e-19,5.579643130781094e-18,2.06e-18
gamma,gamma,3.579434902346956,0.840322384687435,3.3659555693736247,2.5387636338789896,5.256164683306833,2.5
log_eta,eta,8.513953279522228e-18,1.7093705658874692e-18,8.803211395687967e-18,5.246030382367505e-18,1.0789992668222912e-17,1e-17
delta,delta,3.6579565751332326,0.14824093858552587,3.6646305696568766,3.4097770427777356,3.8946585184024505,3.7
