,display_name,mean,sd,median,ci_lower,ci_upper,true
log_phi,phi,3.2794120278309064e-18,2.054353502419108e-18,2.9635299007955543e-18,4.2300512609450496e-19,7.051486715181407e-18,2.06e-18
gamma,gamma,3.353721649570446,0.5153273052317372,3.2710938569219414,2.6893047834639368,4.395162280407575,2.5
log_eta,eta,7.85477297025027e-18,2.0356114555885727e-18,8.0836829099815e-18,4.290873061415404e-18,1.0826247755107815e-17,1e-17
delta,delta,3.684321154474681,0.15145629506722555,3.6926846609799604,3.418559095309888,3.9227559692990086,3.7
