prior_type,phi_mult,phi_true,gamma_true,n_events_mean,gamma_bias_mean,gamma_bias_abs_mean,gamma_ci_width_mean,gamma_coverage_90,accept_rate_mean,rhat_max_worst
flat,0.3,6.179999999999999e-19,2.1,991.4,0.45078381485048113,0.5213061878243412,1.8892484324135328,0.8,0.6048800000000001,1.4306669645740369
flat,0.3,6.179999999999999e-19,2.3,978.8,0.9344684230383244,0.9344684230383244,2.284179266954988,0.8,0.6185766666666666,1.5109905544326967
flat,0.3,6.179999999999999e-19,2.5,969.0,0.5895718969221937,0.5895718969221937,1.5939423353644766,0.8,0.8363641666666666,2.955016426353241
flat,0.3,6.179999999999999e-19,2.7,959.2,0.9039375316646293,0.9039375316646293,1.6960152929905958,0.6,0.5978366666666666,1.4712883313409677
flat,0.3,6.179999999999999e-19,2.9,960.8,0.6349272953083431,0.6349272953083431,1.4433674344459273,0.6,0.59812,1.269871191078377
flat,0.5,1.03e-18,2.1,1041.2,0.3227685854131,0.35834669724090096,1.6300140322328602,1.0,0.6088466666666668,1.4535745485528797
flat,0.5,1.03e-18,2.3,1017.4,0.7961460549794418,0.7961460549794418,2.428788765237512,1.0,0.6344966666666666,1.4130829969295566
flat,0.5,1.03e-18,2.5,1002.6,0.8603104993581885,0.8603104993581885,1.9686423180294195,0.6,0.5855833333333333,1.5360485712074183
flat,0.5,1.03e-18,2.7,993.8,0.8368379026419724,0.8368379026419724,1.8058276772912212,0.8,0.6180133333333333,1.2611538875324997
flat,0.5,1.03e-18,2.9,987.6,0.6487876531545083,0.6487876531545083,1.5247971631698625,0.8,0.62407,1.2704803144612908
flat,1.0,2.06e-18,2.1,1167.2,-0.039773151632042356,0.13492239495716377,0.6777106734668977,1.0,0.6033649999999999,1.4788368976951796
flat,1.0,2.06e-18,2.3,1117.2,0.4995909460605927,0.5726279811395114,1.9527006946376921,1.0,0.6029916666666667,1.3911130124150777
flat,1.0,2.06e-18,2.5,1089.6,0.43547795780317217,0.48550544888212643,1.2593978531035877,0.8,0.8421616666666667,3.0227566883754564
flat,1.0,2.06e-18,2.7,1071.4,0.7816047123519541,0.7816047123519541,1.6498497695438818,0.8,0.6011483333333334,1.2313777310089973
flat,1.0,2.06e-18,2.9,1066.0,0.59124479405178,0.59124479405178,1.534330476427551,1.0,0.6166416666666668,1.3381319001607526
flat,2.0,4.12e-18,2.1,1430.8,-0.05090075972032193,0.058755963000020575,0.44774980761986055,1.0,0.60967,1.7513217281766107
flat,2.0,4.12e-18,2.3,1319.6,-0.05005433447072001,0.11396184995998333,1.009563735528743,1.0,0.6104916666666667,1.4508436640646696
flat,2.0,4.12e-18,2.5,1261.2,0.6696979040462152,0.6696979040462152,2.1479739612483773,1.0,0.59294,1.5354104723681794
flat,2.0,4.12e-18,2.7,1229.6,0.6887810198119557,0.6887810198119557,1.6921142141669534,1.0,0.6037066666666666,1.2472120820954795
flat,2.0,4.12e-18,2.9,1213.0,0.5348611955736715,0.5348611955736715,1.458046128302216,1.0,0.603825,1.3253839893138224
flat,3.0,6.18e-18,2.1,1712.0,-0.09215681701949247,0.09215681701949247,0.41148145597272173,1.0,0.6147533333333334,4.637778423804287
flat,3.0,6.18e-18,2.3,1531.4,-0.14740314312831027,0.14740314312831027,0.5985951984200109,0.8,0.6062183333333333,2.235242000435843
flat,3.0,6.18e-18,2.5,1432.2,0.328963374439895,0.368630175333306,1.0826991365889966,1.0,0.8291866666666667,3.202505075310174
flat,3.0,6.18e-18,2.7,1386.2,0.6204351177126688,0.6204351177126688,1.8510511483726653,1.0,0.6177016666666667,1.642584949230658
flat,3.0,6.18e-18,2.9,1374.6,0.45722365764127604,0.45722365764127604,1.2643088621410539,1.0,0.6025766666666666,1.395263503829392
lognormal_gamma,0.3,6.179999999999999e-19,2.1,991.4,0.22422520568379642,0.2336316085453186,0.9640890106501837,0.8,0.6152433333333333,1.4685072980738183
lognormal_gamma,0.3,6.179999999999999e-19,2.3,978.8,0.3289105203133608,0.3289105203133608,1.4408405469018306,1.0,0.6203116666666666,1.2578345230868724
lognormal_gamma,0.3,6.179999999999999e-19,2.5,969.0,0.27253052046405085,0.27253052046405085,1.2374471953374706,1.0,0.8461241666666666,2.8020762542632465
lognormal_gamma,0.3,6.179999999999999e-19,2.7,959.2,0.32878624602974504,0.32878624602974504,1.4850521119482172,1.0,0.599025,1.532054828038918
lognormal_gamma,0.3,6.179999999999999e-19,2.9,960.8,0.2527840675060917,0.2527840675060917,1.2779391661235526,1.0,0.6150083333333333,1.3533624988551227
lognormal_gamma,0.5,1.03e-18,2.1,1041.2,0.19149004054318558,0.19149004054318558,0.7145461848262541,1.0,0.6172683333333333,1.543716890374423
lognormal_gamma,0.5,1.03e-18,2.3,1017.4,0.23498020875321024,0.23498020875321024,1.4370104194503979,1.0,0.6176533333333334,1.3287655301135897
lognormal_gamma,0.5,1.03e-18,2.5,1002.6,0.32004939598705456,0.3530597061193969,1.5211682082428597,1.0,0.6015949999999999,1.4056761193423395
lognormal_gamma,0.5,1.03e-18,2.7,993.8,0.2779824794440976,0.2779824794440976,1.5163763797480159,1.0,0.6119733333333334,1.4272188797354206
lognormal_gamma,0.5,1.03e-18,2.9,987.6,0.21360933109063135,0.21360933109063135,1.338761667188132,1.0,0.5956416666666666,1.4871253941621627
lognormal_gamma,1.0,2.06e-18,2.1,1167.2,0.041316211259529265,0.11071216877597204,0.4958238054952531,1.0,0.6051383333333333,1.51792798225546
lognormal_gamma,1.0,2.06e-18,2.3,1117.2,0.12501134243991183,0.1596350995174254,0.9641352570784318,1.0,0.61512,1.3891084690610425
lognormal_gamma,1.0,2.06e-18,2.5,1089.6,0.1613792277296815,0.21800279676042672,0.9354727905285234,1.0,0.84881,2.970881025665757
lognormal_gamma,1.0,2.06e-18,2.7,1071.4,0.2973165308332134,0.2973165308332134,1.3593488653949044,1.0,0.6117533333333334,1.3299578148458884
lognormal_gamma,1.0,2.06e-18,2.9,1066.0,0.14979596345219498,0.14979596345219498,1.3281509922421448,1.0,0.6067883333333334,1.2736410566141072
lognormal_gamma,2.0,4.12e-18,2.1,1430.8,-0.016408591785969477,0.03511106474634916,0.36732177342342154,1.0,0.6170033333333335,1.769455226972678
lognormal_gamma,2.0,4.12e-18,2.3,1319.6,-0.04654084059699604,0.049898465301530796,0.4922891729124075,1.0,0.5981333333333334,1.3464278583049
lognormal_gamma,2.0,4.12e-18,2.5,1261.2,0.1552338511267758,0.1552338511267758,1.3353660631364495,1.0,0.619605,1.8772813878729029
lognormal_gamma,2.0,4.12e-18,2.7,1229.6,0.22924089495002628,0.22924089495002628,1.361071142431499,1.0,0.598645,1.3365086819698135
lognormal_gamma,2.0,4.12e-18,2.9,1213.0,0.14351559667554298,0.14351559667554298,1.2069561590212456,1.0,0.6005199999999999,1.4086703908062317
lognormal_gamma,3.0,6.18e-18,2.1,1712.0,-0.06684280223026676,0.0736913284162711,0.3308198783428823,1.0,0.5924216666666666,3.948328065465788
lognormal_gamma,3.0,6.18e-18,2.3,1531.4,-0.10590379113066795,0.10590379113066795,0.4647745204817033,1.0,0.6062583333333333,2.149332940908037
lognormal_gamma,3.0,6.18e-18,2.5,1432.2,0.08249756812779577,0.12234832544164138,0.757586929437948,1.0,0.8333033333333333,3.190667388725775
lognormal_gamma,3.0,6.18e-18,2.7,1386.2,0.15628884563815865,0.18012014699191697,1.2578308193153185,1.0,0.6075666666666667,1.1796415387835173
lognormal_gamma,3.0,6.18e-18,2.9,1374.6,0.16059403117330112,0.16059403117330112,1.0930319431263875,1.0,0.5947316666666665,1.381892563877148
weakly,0.3,6.179999999999999e-19,2.1,991.4,0.19820062992023615,0.19820062992023615,0.5594850601730169,0.8,0.61008,1.10537334665841
weakly,0.3,6.179999999999999e-19,2.3,978.8,0.20636069663423737,0.20636069663423737,0.7681094832112418,0.8,0.613675,1.127446801467387
weakly,0.3,6.179999999999999e-19,2.5,969.0,0.17125785246181882,0.17125785246181882,0.8334860686672689,1.0,0.8384791666666667,2.497573889168184
weakly,0.3,6.179999999999999e-19,2.7,959.2,0.1104993334708468,0.1104993334708468,0.9474469685031416,1.0,0.6144066666666667,1.0537976825929756
weakly,0.3,6.179999999999999e-19,2.9,960.8,-0.035616045847867636,0.07014269773469992,0.927127769735732,1.0,0.6008683333333333,1.0601864345546104
weakly,0.5,1.03e-18,2.1,1041.2,0.18472236628700772,0.18472236628700772,0.4981292464384296,1.0,0.61589,1.0874375205518834
weakly,0.5,1.03e-18,2.3,1017.4,0.12336918375349797,0.12336918375349797,0.6709052009939918,1.0,0.6202233333333333,1.0991997478350528
weakly,0.5,1.03e-18,2.5,1002.6,0.11159875074668217,0.15439319228668488,0.8520149364645058,1.0,0.6216916666666666,1.1337813960284333
weakly,0.5,1.03e-18,2.7,993.8,0.024749482183933542,0.02977045860963314,0.9378541119424799,1.0,0.5996116666666667,1.141666540732208
weakly,0.5,1.03e-18,2.9,987.6,-0.060938425109253604,0.06406743264417811,0.945425458736529,1.0,0.6089533333333333,1.0541321469050968
weakly,1.0,2.06e-18,2.1,1167.2,0.048737995809552535,0.0959128179018547,0.4073192260175209,1.0,0.6150399999999999,1.1449572160934878
weakly,1.0,2.06e-18,2.3,1117.2,0.06381745555126997,0.09144068131651839,0.5234958361755565,1.0,0.6131166666666666,1.10200023010465
weakly,1.0,2.06e-18,2.5,1089.6,0.04178059877258562,0.11869177487961435,0.616980913828797,1.0,0.8435283333333334,2.843503963731105
weakly,1.0,2.06e-18,2.7,1071.4,0.0345577708451291,0.08113239432761554,0.885495953983724,1.0,0.6130166666666665,1.0643156868348127
weakly,1.0,2.06e-18,2.9,1066.0,-0.10054646602304093,0.10054646602304093,0.9073217819610594,1.0,0.6143116666666668,1.0794999345594365
weakly,2.0,4.12e-18,2.1,1430.8,-0.012288468059648661,0.03550414379543674,0.32010049602633905,1.0,0.608995,1.2156753460032432
weakly,2.0,4.12e-18,2.3,1319.6,-0.04802621816032058,0.05101426264973202,0.4218941178267074,1.0,0.6129033333333334,1.168429676085449
weakly,2.0,4.12e-18,2.5,1261.2,-0.0006238695041398595,0.05212948513242207,0.6523237742045618,1.0,0.6105266666666667,1.115019920237281
weakly,2.0,4.12e-18,2.7,1229.6,-0.025271011764749402,0.059536647106023244,0.8409665812918667,1.0,0.6049833333333334,1.072616767700145
weakly,2.0,4.12e-18,2.9,1213.0,-0.1261543546143225,0.1261543546143225,0.882573923210461,1.0,0.6119516666666667,1.1809107780339478
weakly,3.0,6.18e-18,2.1,1712.0,-0.057196781713700975,0.07194234827988541,0.28655984358358616,0.8,0.5963616666666667,1.4739971731727306
weakly,3.0,6.18e-18,2.3,1531.4,-0.10401804029485855,0.10401804029485855,0.3996986225449609,1.0,0.58834,1.3004632722342515
weakly,3.0,6.18e-18,2.5,1432.2,0.0009930306599052416,0.05540477315320027,0.5003375026360415,1.0,0.8335874999999999,3.1717092366456106
weakly,3.0,6.18e-18,2.7,1386.2,-0.05733872998680293,0.09657984300093161,0.7740827930640223,1.0,0.6162699999999999,1.197572453497645
weakly,3.0,6.18e-18,2.9,1374.6,-0.10019488400217322,0.10019488400217322,0.8304218358014273,1.0,0.5927033333333332,1.1534973452353607
