phi_true,gamma_true,seed,n_events,gamma_mean,gamma_bias,gamma_ci_lo,gamma_ci_hi,gamma_ci_width,gamma_covered_90,phi_ci_width,rhat_spl,rhat_bpl,rhat_cut,log_BF_spl_vs_bpl,log_BF_spl_vs_cut
6.179999999999999e-19,2.2,10000,965,2.2432982273097726,0.0432982273097724,1.9058196111309977,2.598457074735764,0.6926374636047663,True,1.834041548501063e-18,1.4275648787322095,2.0347312650606515,2.10687124403171,1.3477043285638501,1.3201037085354983
6.179999999999999e-19,2.2,10001,978,2.4648180509766133,0.26481805097661315,2.056502802313626,2.9397187182946656,0.8832159159810398,True,2.2824360959480106e-18,1.5010447341903093,2.0277941400709145,1.3877498661691585,0.7242765276168939,0.29352949177791743
6.179999999999999e-19,2.5,10000,950,2.6148001561066843,0.11480015610668426,2.2313332264895402,3.0400417787162826,0.8087085522267423,True,2.722855842064772e-18,2.1324352190017373,1.58342507927883,2.3003660660141074,-0.5495447330640673,-0.9735813887837139
6.179999999999999e-19,2.5,10001,969,2.766876854460189,0.26687685446018916,2.384471481369673,3.2774698864747336,0.8929984051050606,True,1.973351006771841e-18,1.3097827866203393,1.651994736821525,2.022985903644454,-0.14116565189760877,-0.4589674873659533
6.179999999999999e-19,2.8,10000,941,2.8298082047402153,0.029808204740215505,2.2662339270873835,3.346590043564797,1.0803561164774136,True,2.119637019247665e-18,1.4173897270183753,1.8216842361664447,1.7622404910369136,-0.23810639428484137,-0.9631275347828705
6.179999999999999e-19,2.8,10001,958,2.8051400136199445,0.00514001361994465,2.454773583686687,3.280659018689233,0.825885435002546,True,2.5930957692593756e-18,1.3918999858982606,1.6165708784019321,1.5791850681778519,-0.2847714260533394,-0.731417710565438
2.06e-18,2.2,10000,1116,2.177188695560507,-0.022811304439493085,1.9187863321714245,2.4133387750310145,0.49455244285959,True,2.534982077125696e-18,1.6127042712238422,1.7333704565525043,2.3392211096196744,0.38576992877824523,12.413296094768157
2.06e-18,2.2,10001,1132,2.1573219930712764,-0.04267800692872381,1.9794546716857595,2.327300910191804,0.34784623850604435,True,1.8838781462216955e-18,1.4425508068276727,1.991280846829256,1.275103583978882,0.8848112868126918,3.702222540945513
2.06e-18,2.5,10000,1072,2.363485685809751,-0.13651431419024895,2.0261264568661943,2.771908219002978,0.7457817621367835,True,2.0038492783940587e-18,1.8162484344025451,1.8083055832330743,1.560963735775004,1.1350212551633376,2.0283826027371106
2.06e-18,2.5,10001,1081,2.7147511363340193,0.21475113633401932,2.313184788907718,3.3892421111169555,1.0760573222092376,True,3.0725503415700646e-18,2.2573304006829904,1.6767036957743207,2.58549764273279,-2.8955540858978566,-3.409767444261888
2.06e-18,2.8,10000,1043,2.818149606770227,0.018149606770227145,2.471550867356899,3.2054327081236873,0.7338818407667884,True,3.7392971843168665e-18,2.2339767962506984,1.5456023941073338,2.242388340928223,-1.2680057874677004,-1.9985784464261087
2.06e-18,2.8,10001,1063,2.914563951225159,0.11456395122515906,2.5362847940489486,3.3612035581667543,0.8249187641178057,True,3.2671716572098733e-18,1.367936893122219,1.6402344742954924,2.0020135678365425,-0.23965330678583996,-1.4267153425389552
6.1799999999999995e-18,2.2,10000,1570,2.0573415181674823,-0.14265848183251784,1.767228192527442,2.222003654184402,0.45477546165696014,True,5.2716883903726884e-18,2.464364683914181,2.4218962836519466,1.367915886562803,-0.8459866784469341,-0.2005269668989058
6.1799999999999995e-18,2.2,10001,1596,2.1467696546197548,-0.0532303453802454,1.9740980117095137,2.279458104638644,0.30536009292913024,True,5.130348473493204e-18,2.2411727969597615,1.8938082352106684,1.5446699780629003,0.15614343903689587,1.100093472710796
6.1799999999999995e-18,2.5,10000,1406,2.414520644175118,-0.08547935582488186,2.189981032801082,2.630262152548072,0.44028111974699025,True,4.8840630107736864e-18,1.4922994300976953,2.2766362370858686,1.940559314315273,6.5527420465768955,3.3152047296243836
6.1799999999999995e-18,2.5,10001,1414,2.5590987014947113,0.0590987014947113,2.313887896533528,2.7953754489403497,0.4814875524068216,True,7.914482970550386e-18,2.0853041856239627,1.797891616555694,2.0391122964209227,0.718490990864666,-3.1891161123639904
6.1799999999999995e-18,2.8,10000,1333,2.8572110982969714,0.057211098296971574,2.5561230500772725,3.225153354781244,0.6690303047039716,True,5.4775945664017855e-18,2.1341191210791592,1.9898922112943227,1.5691766121456943,6.310452535359218,-2.8443393567067687
6.1799999999999995e-18,2.8,10001,1362,2.848723066008764,0.04872306600876408,2.4875083801206124,3.4464027625894786,0.9588943824688663,True,5.838903082207924e-18,2.263801423932918,1.3888716894501623,2.5342881928821894,-6.4333897370852355,-7.658419621446228
